cbsa,county14,county,cntyname2,cbsaname15,pop10,afact
22800,17067, ,Hancock IL,"Fort Madison-Keokuk, IA-IL-MO (Micro)",19104,0.308
22800,19111, ,Lee IA,"Fort Madison-Keokuk, IA-IL-MO (Micro)",35862,0.577
22800,29045, ,Clark MO,"Fort Madison-Keokuk, IA-IL-MO (Micro)",7139,0.115
22820,8087, ,Morgan CO,"Fort Morgan, CO (Micro)",28159,1
22840,1049, ,DeKalb AL,"Fort Payne, AL (Micro)",71109,1
22860,22115, ,Vernon Parish LA,"Fort Polk South, LA (Micro)",52334,1
22900,5033, ,Crawford AR,"Fort Smith, AR-OK (Metro)",61948,0.221
22900,5131, ,Sebastian AR,"Fort Smith, AR-OK (Metro)",125744,0.448
22900,40079, ,Le Flore OK,"Fort Smith, AR-OK (Metro)",50384,0.18
22900,40135, ,Sequoyah OK,"Fort Smith, AR-OK (Metro)",42391,0.151
23060,18003, ,Allen IN,"Fort Wayne, IN (Metro)",355329,0.854
23060,18179, ,Wells IN,"Fort Wayne, IN (Metro)",27636,0.066
