STATE,LOGRECNO,GEOID,Name
US,0041060,86000US92364,ZCTA5 92364
US,0041061,86000US92365,ZCTA5 92365
US,0041062,86000US92368,ZCTA5 92368
US,0041063,86000US92371,ZCTA5 92371
US,0041064,86000US92372,ZCTA5 92372
US,0041065,86000US92373,ZCTA5 92373
US,0041066,86000US92374,ZCTA5 92374
US,0041067,86000US92376,ZCTA5 92376
US,0041068,86000US92377,ZCTA5 92377
US,0041069,86000US92378,ZCTA5 92378
US,0041070,86000US92382,ZCTA5 92382
US,0041071,86000US92384,ZCTA5 92384
US,0041072,86000US92385,ZCTA5 92385
US,0041073,86000US92386,ZCTA5 92386
US,0041074,86000US92389,ZCTA5 92389
US,0041075,86000US92391,ZCTA5 92391
US,0041076,86000US92392,ZCTA5 92392
US,0041077,86000US92394,ZCTA5 92394
US,0041078,86000US92395,ZCTA5 92395
US,0041079,86000US92397,ZCTA5 92397
US,0041080,86000US92398,ZCTA5 92398
US,0041081,86000US92399,ZCTA5 92399
US,0041082,86000US92401,ZCTA5 92401
US,0041083,86000US92404,ZCTA5 92404
US,0041084,86000US92405,ZCTA5 92405
US,0041085,86000US92407,ZCTA5 92407
US,0041086,86000US92408,ZCTA5 92408
US,0041087,86000US92410,ZCTA5 92410
US,0041088,86000US92411,ZCTA5 92411
US,0041089,86000US92501,ZCTA5 92501
US,0041090,86000US92503,ZCTA5 92503
US,0041091,86000US92504,ZCTA5 92504
US,0041092,86000US92505,ZCTA5 92505
US,0041093,86000US92506,ZCTA5 92506
US,0041094,86000US92507,ZCTA5 92507
US,0041095,86000US92508,ZCTA5 92508
US,0041096,86000US92509,ZCTA5 92509
US,0041097,86000US92518,ZCTA5 92518
US,0041098,86000US92530,ZCTA5 92530
US,0041099,86000US92532,ZCTA5 92532
US,0041100,86000US92536,ZCTA5 92536
US,0041101,86000US92539,ZCTA5 92539
US,0041102,86000US92543,ZCTA5 92543
US,0041103,86000US92544,ZCTA5 92544
US,0041104,86000US92545,ZCTA5 92545
US,0041105,86000US92548,ZCTA5 92548
US,0041106,86000US92549,ZCTA5 92549
US,0041107,86000US92551,ZCTA5 92551
US,0041108,86000US92553,ZCTA5 92553
US,0041109,86000US92555,ZCTA5 92555
US,0041110,86000US92557,ZCTA5 92557
US,0041111,86000US92561,ZCTA5 92561
US,0041112,86000US92562,ZCTA5 92562
US,0041113,86000US92563,ZCTA5 92563
US,0041114,86000US92567,ZCTA5 92567
US,0041115,86000US92570,ZCTA5 92570
US,0041116,86000US92571,ZCTA5 92571
US,0041117,86000US92582,ZCTA5 92582
